icao,timestamp,scenario,label,anomaly_type,pred_label,run_id
SIM0000,1700000000,normal,0,normal,0,0
SIM0000,1700000001,normal,0,normal,0,0
SIM0000,1700000002,normal,0,normal,0,0
SIM0000,1700000003,normal,0,normal,0,0
SIM0000,1700000004,normal,0,normal,0,0
SIM0000,1700000005,normal,0,normal,0,0
SIM0000,1700000006,normal,0,normal,0,0
SIM0000,1700000007,normal,0,normal,0,0
SIM0000,1700000008,normal,0,normal,0,0
SIM0000,1700000009,normal,0,normal,0,0
SIM0000,1700000010,normal,0,normal,0,0
SIM0000,1700000011,normal,0,normal,0,0
SIM0000,1700000012,normal,0,normal,0,0
SIM0000,1700000013,normal,0,normal,0,0
SIM0000,1700000014,normal,0,normal,0,0
SIM0000,1700000015,normal,0,normal,0,0
SIM0000,1700000016,normal,0,normal,0,0
SIM0000,1700000017,normal,0,normal,0,0
SIM0000,1700000018,normal,0,normal,0,0
SIM0000,1700000019,normal,0,normal,0,0
SIM0000,1700000020,normal,0,normal,0,0
SIM0000,1700000021,normal,0,normal,0,0
SIM0000,1700000022,normal,0,normal,0,0
SIM0000,1700000023,normal,0,normal,0,0
SIM0000,1700000024,normal,0,normal,0,0
SIM0000,1700000025,normal,0,normal,0,0
SIM0000,1700000026,normal,0,normal,0,0
SIM0000,1700000027,normal,0,normal,0,0
SIM0000,1700000028,normal,0,normal,0,0
SIM0000,1700000029,normal,0,normal,0,0
SIM0000,1700000030,normal,0,normal,0,0
SIM0000,1700000031,normal,0,normal,0,0
SIM0000,1700000032,normal,0,normal,0,0
SIM0000,1700000033,normal,0,normal,0,0
SIM0000,1700000034,normal,0,normal,0,0
SIM0000,1700000035,normal,0,normal,0,0
SIM0000,1700000036,normal,0,normal,0,0
SIM0000,1700000037,normal,0,normal,0,0
SIM0000,1700000038,normal,0,normal,0,0
SIM0000,1700000039,normal,0,normal,0,0
SIM0000,1700000040,normal,0,normal,0,0
SIM0000,1700000041,normal,0,normal,0,0
SIM0000,1700000042,normal,0,normal,0,0
SIM0000,1700000043,normal,0,normal,0,0
SIM0000,1700000044,normal,0,normal,0,0
SIM0000,1700000045,normal,0,normal,0,0
SIM0000,1700000046,normal,0,normal,0,0
SIM0000,1700000047,normal,0,normal,0,0
SIM0000,1700000048,normal,0,normal,0,0
SIM0000,1700000049,normal,0,normal,0,0
SIM0000,1700000050,normal,0,normal,0,0
SIM0000,1700000051,normal,0,normal,0,0
SIM0000,1700000052,normal,0,normal,0,0
SIM0000,1700000053,normal,0,normal,0,0
SIM0000,1700000054,normal,0,normal,0,0
SIM0000,1700000055,normal,0,normal,0,0
SIM0000,1700000056,normal,0,normal,0,0
SIM0000,1700000057,normal,0,normal,0,0
SIM0000,1700000058,normal,0,normal,0,0
SIM0000,1700000059,normal,0,normal,0,0
SIM0000,1700000060,normal,0,normal,0,0
SIM0000,1700000061,normal,0,normal,0,0
SIM0000,1700000062,normal,0,normal,0,0
SIM0000,1700000063,normal,0,normal,0,0
SIM0000,1700000064,normal,0,normal,0,0
SIM0000,1700000065,normal,0,normal,0,0
SIM0000,1700000066,normal,0,normal,0,0
SIM0000,1700000067,normal,0,normal,0,0
SIM0000,1700000068,normal,0,normal,0,0
SIM0000,1700000069,normal,0,normal,0,0
SIM0000,1700000070,normal,0,normal,0,0
SIM0000,1700000071,normal,0,normal,0,0
SIM0000,1700000072,normal,0,normal,0,0
SIM0000,1700000073,normal,0,normal,0,0
SIM0000,1700000074,normal,0,normal,0,0
SIM0000,1700000075,normal,0,normal,0,0
SIM0000,1700000076,normal,0,normal,0,0
SIM0000,1700000077,normal,0,normal,0,0
SIM0000,1700000078,normal,0,normal,0,0
SIM0000,1700000079,normal,0,normal,0,0
SIM0000,1700000080,normal,0,normal,0,0
SIM0000,1700000081,normal,0,normal,0,0
SIM0000,1700000082,normal,0,normal,0,0
SIM0000,1700000083,normal,0,normal,0,0
SIM0000,1700000084,normal,0,normal,0,0
SIM0000,1700000085,normal,0,normal,0,0
SIM0000,1700000086,normal,0,normal,0,0
SIM0000,1700000087,normal,0,normal,0,0
SIM0000,1700000088,normal,0,normal,0,0
SIM0000,1700000089,normal,0,normal,0,0
SIM0000,1700000090,normal,0,normal,0,0
SIM0000,1700000091,normal,0,normal,0,0
SIM0000,1700000092,normal,0,normal,0,0
SIM0000,1700000093,normal,0,normal,0,0
SIM0000,1700000094,normal,0,normal,0,0
SIM0000,1700000095,normal,0,normal,0,0
SIM0000,1700000096,normal,0,normal,0,0
SIM0000,1700000097,normal,0,normal,0,0
SIM0000,1700000098,normal,0,normal,0,0
SIM0000,1700000099,normal,0,normal,0,0
SIM0000,1700000100,normal,0,normal,0,0
SIM0000,1700000101,normal,0,normal,0,0
SIM0000,1700000102,normal,0,normal,0,0
SIM0000,1700000103,normal,0,normal,0,0
SIM0000,1700000104,normal,0,normal,0,0
SIM0000,1700000105,normal,0,normal,0,0
SIM0000,1700000106,normal,0,normal,0,0
SIM0000,1700000107,normal,0,normal,0,0
SIM0000,1700000108,normal,0,normal,0,0
SIM0000,1700000109,normal,0,normal,0,0
SIM0000,1700000110,normal,0,normal,0,0
SIM0000,1700000111,normal,0,normal,0,0
SIM0000,1700000112,normal,0,normal,0,0
SIM0000,1700000113,normal,0,normal,0,0
SIM0000,1700000114,normal,0,normal,0,0
SIM0000,1700000115,normal,0,normal,0,0
SIM0000,1700000116,normal,0,normal,0,0
SIM0000,1700000117,normal,0,normal,0,0
SIM0000,1700000118,normal,0,normal,0,0
SIM0000,1700000119,normal,0,normal,0,0
SIM0001,1700000000,normal,0,normal,0,0
SIM0001,1700000001,normal,0,normal,0,0
SIM0001,1700000002,normal,0,normal,0,0
SIM0001,1700000003,normal,0,normal,0,0
SIM0001,1700000004,normal,0,normal,0,0
SIM0001,1700000005,normal,0,normal,0,0
SIM0001,1700000006,normal,0,normal,0,0
SIM0001,1700000007,normal,0,normal,0,0
SIM0001,1700000008,normal,0,normal,0,0
SIM0001,1700000009,normal,0,normal,0,0
SIM0001,1700000010,normal,0,normal,0,0
SIM0001,1700000011,normal,0,normal,0,0
SIM0001,1700000012,normal,0,normal,0,0
SIM0001,1700000013,normal,0,normal,0,0
SIM0001,1700000014,normal,0,normal,0,0
SIM0001,1700000015,normal,0,normal,0,0
SIM0001,1700000016,normal,0,normal,0,0
SIM0001,1700000017,normal,0,normal,0,0
SIM0001,1700000018,normal,0,normal,0,0
SIM0001,1700000019,normal,0,normal,0,0
SIM0001,1700000020,normal,0,normal,0,0
SIM0001,1700000021,normal,0,normal,0,0
SIM0001,1700000022,normal,0,normal,0,0
SIM0001,1700000023,normal,0,normal,0,0
SIM0001,1700000024,normal,0,normal,0,0
SIM0001,1700000025,normal,0,normal,0,0
SIM0001,1700000026,normal,0,normal,0,0
SIM0001,1700000027,normal,0,normal,0,0
SIM0001,1700000028,normal,0,normal,0,0
SIM0001,1700000029,normal,0,normal,0,0
SIM0001,1700000030,normal,0,normal,0,0
SIM0001,1700000031,normal,0,normal,0,0
SIM0001,1700000032,normal,0,normal,0,0
SIM0001,1700000033,normal,0,normal,0,0
SIM0001,1700000034,normal,0,normal,0,0
SIM0001,1700000035,normal,0,normal,0,0
SIM0001,1700000036,normal,0,normal,0,0
SIM0001,1700000037,normal,0,normal,0,0
SIM0001,1700000038,normal,0,normal,0,0
SIM0001,1700000039,normal,0,normal,0,0
SIM0001,1700000040,normal,0,normal,0,0
SIM0001,1700000041,normal,0,normal,0,0
SIM0001,1700000042,normal,0,normal,0,0
SIM0001,1700000043,normal,0,normal,0,0
SIM0001,1700000044,normal,0,normal,0,0
SIM0001,1700000045,normal,0,normal,0,0
SIM0001,1700000046,normal,0,normal,0,0
SIM0001,1700000047,normal,0,normal,0,0
SIM0001,1700000048,normal,0,normal,0,0
SIM0001,1700000049,normal,0,normal,0,0
SIM0001,1700000050,normal,0,normal,0,0
SIM0001,1700000051,normal,0,normal,0,0
SIM0001,1700000052,normal,0,normal,0,0
SIM0001,1700000053,normal,0,normal,0,0
SIM0001,1700000054,normal,0,normal,0,0
SIM0001,1700000055,normal,0,normal,0,0
SIM0001,1700000056,normal,0,normal,0,0
SIM0001,1700000057,normal,0,normal,0,0
SIM0001,1700000058,normal,0,normal,0,0
SIM0001,1700000059,normal,0,normal,0,0
SIM0001,1700000060,normal,0,normal,0,0
SIM0001,1700000061,normal,0,normal,0,0
SIM0001,1700000062,normal,0,normal,0,0
SIM0001,1700000063,normal,0,normal,0,0
SIM0001,1700000064,normal,0,normal,0,0
SIM0001,1700000065,normal,0,normal,0,0
SIM0001,1700000066,normal,0,normal,0,0
SIM0001,1700000067,normal,0,normal,0,0
SIM0001,1700000068,normal,0,normal,0,0
SIM0001,1700000069,normal,0,normal,0,0
SIM0001,1700000070,normal,0,normal,0,0
SIM0001,1700000071,normal,0,normal,0,0
SIM0001,1700000072,normal,0,normal,0,0
SIM0001,1700000073,normal,0,normal,0,0
SIM0001,1700000074,normal,0,normal,0,0
SIM0001,1700000075,normal,0,normal,0,0
SIM0001,1700000076,normal,0,normal,0,0
SIM0001,1700000077,normal,0,normal,0,0
SIM0001,1700000078,normal,0,normal,0,0
SIM0001,1700000079,normal,0,normal,0,0
SIM0001,1700000080,normal,0,normal,0,0
SIM0001,1700000081,normal,0,normal,0,0
SIM0001,1700000082,normal,0,normal,0,0
SIM0001,1700000083,normal,0,normal,0,0
SIM0001,1700000084,normal,0,normal,0,0
SIM0001,1700000085,normal,0,normal,0,0
SIM0001,1700000086,normal,0,normal,0,0
SIM0001,1700000087,normal,0,normal,0,0
SIM0001,1700000088,normal,0,normal,0,0
SIM0001,1700000089,normal,0,normal,0,0
SIM0001,1700000090,normal,0,normal,0,0
SIM0001,1700000091,normal,0,normal,0,0
SIM0001,1700000092,normal,0,normal,0,0
SIM0001,1700000093,normal,0,normal,0,0
SIM0001,1700000094,normal,0,normal,0,0
SIM0001,1700000095,normal,0,normal,0,0
SIM0001,1700000096,normal,0,normal,0,0
SIM0001,1700000097,normal,0,normal,0,0
SIM0001,1700000098,normal,0,normal,0,0
SIM0001,1700000099,normal,0,normal,0,0
SIM0001,1700000100,normal,0,normal,0,0
SIM0001,1700000101,normal,0,normal,0,0
SIM0001,1700000102,normal,0,normal,0,0
SIM0001,1700000103,normal,0,normal,0,0
SIM0001,1700000104,normal,0,normal,0,0
SIM0001,1700000105,normal,0,normal,0,0
SIM0001,1700000106,normal,0,normal,0,0
SIM0001,1700000107,normal,0,normal,0,0
SIM0001,1700000108,normal,0,normal,0,0
SIM0001,1700000109,normal,0,normal,0,0
SIM0001,1700000110,normal,0,normal,0,0
SIM0001,1700000111,normal,0,normal,0,0
SIM0001,1700000112,normal,0,normal,0,0
SIM0001,1700000113,normal,0,normal,0,0
SIM0001,1700000114,normal,0,normal,0,0
SIM0001,1700000115,normal,0,normal,0,0
SIM0001,1700000116,normal,0,normal,0,0
SIM0001,1700000117,normal,0,normal,0,0
SIM0001,1700000118,normal,0,normal,0,0
SIM0001,1700000119,normal,0,normal,0,0
SIM0002,1700000000,normal,0,normal,0,0
SIM0002,1700000001,normal,0,normal,0,0
SIM0002,1700000002,normal,0,normal,0,0
