icao,timestamp,latitude,longitude,velocity,heading,baro_altitude,vertical_rate,prev_latitude,prev_longitude,prev_velocity,prev_heading,prev_altitude,prev_timestamp,delta_t,distance_m,implied_speed_mps,accel_mps2,vert_rate_mps,delta_heading_deg,turn_rate_dps,has_prev
SIM0000,1700000000,33.94167380920145,-118.3905752677495,214.10971043923095,81.07458839661307,3651.745991567867,0.6701076227772668,,,,,,,,,,,,,,False
SIM0000,1700000001,33.94197198393037,-118.38828522837542,213.83755015044895,81.07965081318052,3652.5140676006813,0.6701076227772668,33.94167380920145,-118.3905752677495,214.10971043923095,81.07458839661307,3651.745991567867,1700000000.0,1.0,213.83755014778632,213.83755014778632,-0.27216028878200405,0.7680760328144061,0.005062416567454875,0.005062416567454875,True
SIM0000,1700000002,33.9422685862967,-118.38599647300646,213.69275389067366,81.12100768718888,3652.998081614517,0.6701076227772668,33.94197198393037,-118.38828522837542,213.83755015044895,81.07965081318052,3652.5140676006813,1700000001.0,1.0,213.69275389171034,213.69275389171034,-0.14479625977529054,0.4840140138358038,0.041356874008357636,0.041356874008357636,True
SIM0000,1700000003,33.942562561331286,-118.3837094409659,213.49003680630486,81.19185900847025,3653.3993463278375,0.6701076227772668,33.9422685862967,-118.38599647300646,213.69275389067366,81.12100768718888,3652.998081614517,1700000002.0,1.0,213.49003680907637,213.49003680907637,-0.20271708436879976,0.40126471332041547,0.07085132128136706,0.07085132128136706,True
SIM0000,1700000004,33.94285811910388,-118.3814256264792,213.22306513114953,81.13288403303866,3653.8115464026578,0.6701076227772668,33.942562561331286,-118.3837094409659,213.49003680630486,81.19185900847025,3653.3993463278375,1700000003.0,1.0,213.2230651305507,213.2230651305507,-0.2669716751553324,0.4122000748202481,-0.0589749754315676,-0.0589749754315676,True
SIM0000,1700000005,33.94315221624464,-118.37914673664517,212.74847556448145,81.15721563804338,3654.2281647291466,0.6701076227772668,33.94285811910388,-118.3814256264792,213.22306513114953,81.13288403303866,3653.8115464026578,1700000004.0,1.0,212.74847556740366,212.74847556740366,-0.4745895666680724,0.4166183264887877,0.024331605004704215,0.024331605004704215,True
SIM0000,1700000006,33.943444647146926,-118.37686925665065,212.5908359073054,81.20113935393306,3654.8608861629978,0.6701076227772668,33.94315221624464,-118.37914673664517,212.74847556448145,81.15721563804338,3654.2281647291466,1700000005.0,1.0,212.59083590579894,212.59083590579894,-0.15763965717604833,0.6327214338512022,0.04392371588966171,0.04392371588966171,True
SIM0000,1700000007,33.94373598503447,-118.37459788175067,212.01499263968302,81.21029087069918,3655.5212935966947,0.6701076227772668,33.943444647146926,-118.37686925665065,212.5908359073054,81.20113935393306,3654.8608861629978,1700000006.0,1.0,212.01499263937816,212.01499263937816,-0.575843267622389,0.6604074336969461,0.009151516766110035,0.009151516766110035,True
SIM0000,1700000008,33.944028401881994,-118.37232868984728,211.8336596765842,81.16987024398237,3656.095850564265,0.6701076227772668,33.94373598503447,-118.37459788175067,212.01499263968302,81.21029087069918,3655.5212935966947,1700000007.0,1.0,211.8336596764506,211.8336596764506,-0.18133296309881075,0.5745569675705156,-0.04042062671680924,-0.04042062671680924,True
SIM0000,1700000009,33.944320485249904,-118.37006321376816,211.4885525038764,81.16551454356956,3656.97813791172,0.6701076227772668,33.944028401881994,-118.37232868984728,211.8336596765842,81.16987024398237,3656.095850564265,1700000008.0,1.0,211.48855250096045,211.48855250096045,-0.3451071727077988,0.8822873474546213,-0.004355700412816077,-0.004355700412816077,True
